team,players,avg_age,median_age,avg_height,median_height,avg_caps,median_caps,total_caps,avg_market_value,median_market_value,total_market_value,goalkeepers,defenders,midfielders,forwards,pct_goalkeepers,pct_defenders,pct_midfielders,pct_forwards
Croatia,26,28.328752698362557,28.26009582477755,184.76923076923077,185.5,45.23076923076923,20.5,1176,14896153.846153846,6750000.0,387300000,3,8,9,6,0.11538461538461539,0.3076923076923077,0.34615384615384615,0.23076923076923078
Curaçao,26,28.020955088716896,27.100616016427104,181.92307692307693,181.5,24.423076923076923,20.0,635,1541080.2692307692,850000.0,40068087,3,8,7,8,0.11538461538461539,0.3076923076923077,0.2692307692307692,0.3076923076923077
Czechia,26,27.620807665982205,27.07460643394935,185.73076923076923,188.0,28.384615384615383,23.0,738,7197762.692307692,5500000.0,187141830,3,9,7,7,0.11538461538461539,0.34615384615384615,0.2692307692307692,0.2692307692307692
Côte d'Ivoire,26,25.848996998894332,25.364818617385353,182.92307692307693,183.0,27.76923076923077,21.5,722,19029474.692307692,11344300.0,494766342,3,8,6,9,0.11538461538461539,0.3076923076923077,0.23076923076923078,0.34615384615384615
Ecuador,26,26.07760753961986,25.679671457905542,180.53846153846155,180.0,30.192307692307693,22.0,785,9953357.23076923,10360885.5,258787288,3,8,8,7,0.11538461538461539,0.3076923076923077,0.3076923076923077,0.2692307692307692
Egypt,26,29.058916442900017,28.713210130047912,181.19230769230768,180.0,32.57692307692308,24.5,847,7599684.576923077,7537496.0,197591799,4,8,7,7,0.15384615384615385,0.3076923076923077,0.2692307692307692,0.2692307692307692
England,26,27.273205917969776,26.72142368240931,184.6153846153846,183.0,32.80769230769231,18.5,853,50839188.307692304,42500000.0,1321818896,3,9,7,7,0.11538461538461539,0.34615384615384615,0.2692307692307692,0.2692307692307692
France,26,27.001000368556838,27.260780287474333,184.92307692307693,184.5,31.384615384615383,30.5,816,59469402.65384615,54763918.5,1546204469,3,9,7,7,0.11538461538461539,0.34615384615384615,0.2692307692307692,0.2692307692307692
Germany,26,28.04675406728795,27.568788501026695,186.19230769230768,187.5,33.07692307692308,13.5,860,38028524.192307696,31500000.0,988741629,3,8,11,4,0.11538461538461539,0.3076923076923077,0.4230769230769231,0.15384615384615385
Ghana,26,26.975201389985784,26.937713894592747,182.6153846153846,182.0,22.5,13.0,585,7647605.269230769,4120943.5,198837737,3,9,6,8,0.11538461538461539,0.34615384615384615,0.23076923076923078,0.3076923076923077
Haiti,26,27.508134575896385,26.28336755646817,181.57692307692307,181.0,24.73076923076923,16.0,643,2358839.923076923,450000.0,61329838,3,9,5,9,0.11538461538461539,0.34615384615384615,0.19230769230769232,0.34615384615384615
IR Iran,26,30.3325435686832,31.326488706365502,183.65384615384616,183.5,45.80769230769231,34.5,1191,5593685.384615385,2250000.0,145435820,3,9,8,6,0.11538461538461539,0.34615384615384615,0.3076923076923077,0.23076923076923078
Iraq,26,26.914758068762175,25.82067077344285,183.03846153846155,183.0,32.5,26.5,845,4764176.192307692,4785997.5,123868581,3,9,7,7,0.11538461538461539,0.34615384615384615,0.2692307692307692,0.2692307692307692
Japan,26,27.49518243563418,27.17864476386037,181.6153846153846,181.0,31.653846153846153,26.0,823,10417307.692307692,9000000.0,270850000,3,9,9,5,0.11538461538461539,0.34615384615384615,0.34615384615384615,0.19230769230769232
Jordan,26,28.465539935765808,28.872005475701574,180.30769230769232,181.0,41.5,35.5,1079,4011998.6923076925,3926917.5,104311966,3,9,8,6,0.11538461538461539,0.34615384615384615,0.3076923076923077,0.23076923076923078
Mexico,26,27.900700257989783,28.521560574948666,179.5,178.0,47.57692307692308,40.5,1237,15842558.038461538,15321605.5,411906509,3,7,8,8,0.11538461538461539,0.2692307692307692,0.3076923076923077,0.3076923076923077
Morocco,26,26.598957510661823,25.869952087611225,182.3846153846154,182.5,27.807692307692307,17.0,723,17567467.46153846,11000000.0,456754154,3,9,9,5,0.11538461538461539,0.34615384615384615,0.34615384615384615,0.19230769230769232
Netherlands,26,27.774443215921657,27.09924709103354,185.15384615384616,185.5,33.73076923076923,25.0,877,29431444.076923076,26500000.0,765217546,3,8,8,7,0.11538461538461539,0.3076923076923077,0.3076923076923077,0.2692307692307692
New Zealand,26,28.26704575369873,27.20739219712526,183.07692307692307,182.0,32.61538461538461,26.0,848,1457911.3846153845,625000.0,37905696,3,9,9,5,0.11538461538461539,0.34615384615384615,0.34615384615384615,0.19230769230769232
Norway,26,26.804191017743378,26.955509924709105,187.15384615384616,187.5,31.423076923076923,26.5,817,17890377.769230768,8410927.0,465149822,3,8,10,5,0.11538461538461539,0.3076923076923077,0.38461538461538464,0.19230769230769232
Panama,26,30.426578213025852,29.850787132101303,181.57692307692307,184.0,59.84615384615385,55.5,1556,6697228.692307692,7443176.5,174127946,3,11,8,4,0.11538461538461539,0.4230769230769231,0.3076923076923077,0.15384615384615385
Paraguay,26,29.002579897857103,29.67419575633128,181.6153846153846,183.5,27.115384615384617,21.5,705,5218604.846153846,5208471.0,135683726,3,8,9,6,0.11538461538461539,0.3076923076923077,0.34615384615384615,0.23076923076923078
Portugal,26,28.03527615437266,26.865160848733744,181.5,183.5,45.23076923076923,35.0,1176,44073414.038461536,32753909.5,1145908765,3,9,6,8,0.11538461538461539,0.34615384615384615,0.23076923076923078,0.3076923076923077
Qatar,26,29.50771336808298,29.59753593429158,179.3846153846154,180.0,61.0,50.0,1586,4665383.692307692,4593629.5,121299976,3,9,5,9,0.11538461538461539,0.34615384615384615,0.19230769230769232,0.34615384615384615
Saudi Arabia,26,28.5160848733744,27.117043121149898,178.42307692307693,178.0,36.26923076923077,27.0,943,4982354.269230769,5035337.5,129541211,3,10,6,7,0.11538461538461539,0.38461538461538464,0.23076923076923078,0.2692307692307692
Scotland,26,29.20244300531775,29.913757700205338,184.46153846153845,184.5,38.03846153846154,27.0,989,4811362.076923077,2959215.5,125095414,3,10,6,7,0.11538461538461539,0.38461538461538464,0.23076923076923078,0.2692307692307692
Senegal,26,27.0872426683515,26.69267624914442,183.96153846153845,185.0,39.69230769230769,31.5,1032,17551735.269230768,9000000.0,456345117,3,8,7,8,0.11538461538461539,0.3076923076923077,0.2692307692307692,0.3076923076923077
South Africa,26,26.80840309587743,25.89185489390828,178.84615384615384,178.5,20.692307692307693,12.5,538,1834615.3846153845,1500000.0,47700000,3,10,5,8,0.11538461538461539,0.38461538461538464,0.19230769230769232,0.3076923076923077
South Korea,26,28.065708418891173,28.514715947980836,181.92307692307693,181.0,37.46153846153846,25.5,974,5348076.923076923,2000000.0,139050000,3,9,11,3,0.11538461538461539,0.34615384615384615,0.4230769230769231,0.11538461538461539
Spain,26,26.74743326488706,27.048596851471594,181.73076923076923,183.0,29.153846153846153,25.5,758,82083578.03846154,75263192.5,2134173029,3,8,7,8,0.11538461538461539,0.3076923076923077,0.2692307692307692,0.3076923076923077
Sweden,26,27.557099984204708,27.689253935660506,186.19230769230768,187.0,20.423076923076923,13.5,531,15712401.73076923,6723722.5,408522445,3,11,7,5,0.11538461538461539,0.4230769230769231,0.2692307692307692,0.19230769230769232
Switzerland,26,28.307060495972202,28.91581108829569,185.23076923076923,183.5,44.15384615384615,29.5,1148,13737866.076923076,10000000.0,357184518,3,8,8,7,0.11538461538461539,0.3076923076923077,0.3076923076923077,0.2692307692307692
Tunisia,26,26.64465855841626,26.87748117727584,184.57692307692307,185.5,22.923076923076923,17.0,596,3035173.6153846155,1750000.0,78914514,3,10,8,5,0.11538461538461539,0.38461538461538464,0.3076923076923077,0.19230769230769232
Türkiye,26,27.672195019217607,27.505817932922657,183.76923076923077,184.5,38.03846153846154,32.0,989,17737360.576923076,11595640.5,461171375,3,9,5,9,0.11538461538461539,0.34615384615384615,0.19230769230769232,0.34615384615384615
USA,26,26.90496498710051,26.795345653661876,183.3846153846154,185.0,37.57692307692308,37.5,977,14569694.038461538,10306989.5,378812045,3,10,6,7,0.11538461538461539,0.38461538461538464,0.23076923076923078,0.2692307692307692
Uruguay,26,28.742273469172854,27.842573579739906,180.46153846153845,181.5,36.26923076923077,31.5,943,12321012.692307692,11829335.0,320346330,3,7,11,5,0.11538461538461539,0.2692307692307692,0.4230769230769231,0.19230769230769232
Uzbekistan,26,28.21323645553625,28.694045174537987,181.8846153846154,182.5,37.38461538461539,35.5,972,3274038.4615384615,950000.0,85125000,3,10,10,3,0.11538461538461539,0.38461538461538464,0.38461538461538464,0.11538461538461539
