date,team,elo
2023-07-13,Guernsey,1760.3810565160788
2026-06-05,Slovakia,1755.0977184814817
2014-12-30,Occitania,1751.6684375053862
2026-06-06,Wales,1750.989165737307
2026-06-05,Georgia,1749.891672854162
2026-06-27,Jordan,1732.4442479060244
2026-06-04,Mali,1726.9953257885263
2025-07-18,Isle of Man,1725.03491393313
2026-06-03,Israel,1717.5056778171338
2026-03-31,Cameroon,1716.2046020598236
2026-06-25,Tunisia,1714.9563620607055
2026-06-06,Romania,1713.7585000544884
2018-06-09,Northern Cyprus,1712.3796804976778
2026-06-10,Costa Rica,1708.033642738569
2019-06-08,Padania,1706.4742489022874
2026-06-08,Northern Ireland,1699.511734207858
2026-06-26,Saudi Arabia,1692.9983837250093
2026-06-28,South Africa,1686.4334978551574
2026-06-10,Bolivia,1683.895389455508
2026-06-26,Iraq,1683.5197564411965
2025-12-15,United Arab Emirates,1682.9294240579395
2026-06-06,Albania,1682.244769250529
2026-06-06,Honduras,1681.6492679150372
2026-07-03,Cape Verde,1679.75600256718
2026-07-01,Bosnia and Herzegovina,1677.446304180127
2026-06-26,New Zealand,1677.2424952014492
2026-06-24,Haiti,1675.034600785328
2016-06-04,Iraqi Kurdistan,1674.3656408046415
2023-07-13,Isle of Wight,1671.2017102836476
2026-07-03,Ghana,1667.0230555702456
2023-07-16,Kernow,1661.1190443406576
2026-06-09,Iceland,1659.2924280763775
2013-06-07,Andalusia,1657.8694679571593
2026-06-09,Burkina Faso,1654.1744852592103
2019-06-08,Abkhazia,1646.511722849335
2026-06-06,Jamaica,1645.603075384805
2025-07-17,Ynys Môn,1643.1380328357093
2026-06-01,North Macedonia,1639.3669828654145
2026-06-05,Finland,1633.3101357711914
2018-06-09,Kárpátalja,1619.699168753839
2026-06-09,Belarus,1618.115878130242
2019-12-29,Panjab,1612.1161133889264
2026-06-07,Guatemala,1605.524219821748
2026-06-09,Angola,1604.26020976793
2011-06-27,Rhodes,1599.110910592888
2015-06-21,County of Nice,1598.057705627951
2019-06-01,Yorkshire,1593.8282685567117
2023-09-02,Réunion,1593.3152926506946
2025-07-04,Tamil Eelam,1589.0279069261946
2017-05-26,Corsica,1587.499968218703
2026-03-26,New Caledonia,1583.7560415924795
2018-06-03,Ellan Vannin,1582.7962819711008
2019-06-08,Artsakh,1582.6240877285436
2026-03-26,Suriname,1577.3912207242574
2013-06-28,Kurdistan,1577.176375272369
2026-06-25,Curaçao,1575.4055655196416
2026-06-04,Guinea,1574.5440178097008
2023-07-13,Menorca,1574.499244159991
2026-06-05,Oman,1568.5773307146237
2023-07-01,Chameria,1565.6161788417544
2026-06-09,China,1565.5947540419882
2026-06-05,Syria,1564.3560166865182
2019-05-25,Cascadia,1563.7707532094942
2026-06-09,Palestine,1559.3045950692915
2026-06-05,Montenegro,1556.488374827445
2026-06-05,Bulgaria,1551.2339952220957
2026-03-31,Libya,1551.0903172268047
2014-06-08,Arameans Suryoye,1549.3604579202822
2026-06-09,Thailand,1547.1094916650582
2026-03-31,Zambia,1545.3111028133255
2013-06-27,Quebec,1543.1839248509752
2026-06-24,Qatar,1540.08248772755
2024-05-21,Galicia,1538.1835195130352
2025-01-13,Zanzibar,1537.174751475339
2007-12-29,Canary Islands,1536.794186466388
2006-12-09,Silesia,1533.5222331126731
2019-06-09,Western Armenia,1533.461847089798
1923-02-25,Asturias,1533.2567993470177
2026-06-05,Bahrain,1532.0692862526605
2026-03-30,Gabon,1529.0735875052485
2026-05-29,Gambia,1528.3941406858776
2022-06-19,Maule Sur,1528.2472006374326
2026-06-09,Indonesia,1524.5370018237245
2019-06-02,Parishes of Jersey,1524.136174960683
2026-06-09,Togo,1523.1227273723612
2022-07-16,Elba Island,1523.0553605520283
2018-06-09,United Koreans in Japan,1523.0146790034098
2018-05-06,Surrey,1522.983179091914
2017-08-31,Donetsk PR,1520.7660877230237
2026-06-02,Madagascar,1518.917665025047
2022-05-25,Biafra,1513.5900224392717
2025-06-24,Guadeloupe,1513.1729321792018
2022-06-18,Mapuche,1510.7853092909208
2025-11-18,Malaysia,1510.285637759909
2025-07-17,Shetland,1510.2439484213978
2026-06-06,Luxembourg,1510.168302060973
2026-06-09,Trinidad and Tobago,1508.220494842486
2026-06-09,Kazakhstan,1508.1125221578984
2026-06-09,Benin,1502.6705095576374
2013-05-28,Brittany,1502.365991963174
2014-08-10,Sealand,1501.9946629100525
2017-06-09,Felvidék,1501.9050813840647
2016-08-03,Délvidék,1500.9226833226078
2023-07-02,Székely Land,1498.923480813792
1970-09-20,North Vietnam,1498.1156935632316
2025-12-30,Uganda,1497.9096972312525
2023-07-16,Sápmi,1496.3126940095565
2025-06-10,North Korea,1495.904140455457
2006-06-03,Republic of St. Pauli,1495.1676066490554
2026-06-09,Comoros,1492.321710324444
2013-06-29,Saugeais,1491.587417862189
2025-03-21,Tahiti,1489.9463267330664
2026-03-26,Vietnam,1489.651393157858
1923-11-25,Central Spain,1489.029487693207
2006-11-25,Crimea,1488.7917570580123
2013-06-07,Madrid,1488.448026607534
2025-07-17,Gozo,1486.146592902889
2011-12-29,Cilento,1484.877164526078
2026-05-30,Zimbabwe,1484.5876094955825
2026-06-06,El Salvador,1484.086211838056
2022-05-23,Yoruba Nation,1482.8975399572123
2026-06-05,Nicaragua,1482.0175797851157
2026-06-05,Kuwait,1481.9761844592
2014-08-10,Seborga,1481.5461810869697
2026-06-04,Kenya,1474.728086569084
2019-12-08,Luhansk PR,1474.474514005036
2026-06-03,Dominican Republic,1473.4270727374735
2026-06-09,Estonia,1470.854569277913
2026-06-09,Mozambique,1470.084850279787
2022-05-25,Matabeleland,1469.6359539285484
2026-03-30,Rwanda,1469.4359214504773
2026-03-30,Guyana,1469.3481717542074
2026-06-08,Mauritania,1467.8456247621166
2013-06-28,Provence,1465.1576618669917
2019-05-04,Somaliland,1464.987312207604
1982-11-25,South Yemen,1464.935981332549
2026-06-08,Niger,1464.8264492788103
2025-07-04,East Turkestan,1464.4930664102965
2026-03-29,Martinique,1464.398199586945
2019-12-08,South Ossetia,1463.4617464616542
2023-07-13,Åland Islands,1462.2583656558772
2022-06-19,Aymara,1460.9674900716466
2026-06-09,Faroe Islands,1459.8428905313162
2017-06-29,Gotland,1459.1058342705714
2019-06-25,Franconia,1457.1246417779455
2026-01-03,Sudan,1453.5811432693654
2023-08-08,Hmong,1450.564158540357
2023-08-26,Mayotte,1450.1998878068205
2018-06-09,Kabylia,1449.3741126378418
2022-11-13,West Papua,1448.3631985066966
2016-11-26,Ryūkyū,1447.2317262619013
2026-06-09,Armenia,1446.2756795340897
2016-05-16,Romani people,1444.1944066232231
2026-06-09,Kyrgyzstan,1442.7495746144054
2025-11-26,Lebanon,1440.3867773074514
2026-06-09,Equatorial Guinea,1437.083562526008
2026-06-09,Malawi,1436.7621355983774
2024-11-19,French Guiana,1432.685676785594
1956-06-06,Saarland,1430.8127142526623
2026-06-09,Sierra Leone,1429.5617466183626
2024-06-01,Greenland,1424.0056557721712
2026-06-09,Liberia,1419.1659097844702
2025-11-23,Papua New Guinea,1418.6188729838968
2026-06-09,Tajikistan,1416.7157312773918
2026-06-09,Azerbaijan,1412.7806186439889
2025-07-17,Western Isles,1412.1894447824068
1983-08-22,Niue,1410.1830173376568
2006-11-21,Găgăuzia,1409.5010825997645
2026-03-28,Namibia,1407.265150227813
2017-04-29,Monaco,1407.237779943763
2026-06-05,Malta,1405.9718721924137
2026-06-06,Vanuatu,1403.584350864193
2026-03-29,Tanzania,1403.1383701731097
2025-11-18,Turkmenistan,1402.5145188227075
2025-08-16,Marshall Islands,1401.391612606566
2006-02-18,Chechnya,1400.9830191970486
2026-03-31,Botswana,1400.194269809752
2023-07-02,Two Sicilies,1399.925882465362
2026-06-07,Cyprus,1398.1468073200474
2026-05-26,Burundi,1397.0170151780362
2026-06-09,Ethiopia,1394.2548387679212
1980-11-25,Western Australia,1394.2526183268917
2026-03-29,Cuba,1390.6258938895728
2026-06-04,Lesotho,1389.248057515931
2026-06-09,Lithuania,1387.5782733198023
1942-08-09,Manchukuo,1386.057527969552
2023-08-06,Ticino,1382.7266594751711
2025-07-17,Orkney,1382.08336282952
2023-08-06,Raetia,1379.390144583718
2007-06-07,Ambazonia,1370.516190380823
2026-06-09,Latvia,1368.0520829525149
2023-03-10,Saint Barthélemy,1365.9036957188284
2026-06-06,Fiji,1364.8579877013035
1975-03-23,Vietnam Republic,1362.7000129156245
2026-03-29,Saint Vincent and the Grenadines,1362.6785832144535
2013-06-28,Western Sahara,1361.1119786510867
2026-03-31,Guinea-Bissau,1359.9697809347006
2026-06-09,Central African Republic,1359.6350974721306
2026-06-06,Bermuda,1351.3021891213714
1998-08-01,Palau,1345.9636740698363
2022-04-22,Vatican City,1343.3855105626549
2019-05-25,Barawa,1341.2423465804006
2026-06-09,Moldova,1340.020166275839
2026-06-09,Philippines,1339.6239932444146
1989-11-05,Yemen DPR,1335.8602223084372
2026-06-05,Puerto Rico,1333.2894575750602
2026-03-30,Solomon Islands,1326.03012555882
2025-10-14,Congo,1324.5584047512957
2017-06-29,Saare County,1324.125888732891
2026-06-09,Hong Kong,1323.6212145832556
2025-10-13,Eswatini,1320.0181146393663
2025-07-17,Hitra,1312.9595041486689
2023-07-13,Saint Helena,1311.2895404313435
2019-12-29,Chagos Islands,1297.0541733452712
2003-07-03,Sark,1296.7050917828624
2026-03-30,Belize,1287.967931773888
2026-06-05,Singapore,1284.407635829259
2025-11-26,Yemen,1283.6481394436871
2003-07-07,Micronesia,1276.1398495691726
2026-03-29,Saint Martin,1272.232591650848
2026-05-16,Grenada,1265.7400522203018
2026-06-09,India,1264.135913402007
1995-08-20,Wallis Islands and Futuna,1263.017274551069
2026-03-30,Sint Maarten,1261.0203320699768
2026-03-30,Saint Kitts and Nevis,1258.3626971342662
2025-11-25,South Sudan,1255.6240784426475
2025-11-17,Chad,1243.6141222235408
2014-06-07,Darfur,1232.888493961883
2012-09-28,Saint Pierre and Miquelon,1230.7754549540855
2025-07-03,Tibet,1230.03204117081
2025-10-13,Mauritius,1208.1336652728032
2026-06-06,Aruba,1205.978624817079
2026-06-06,Gibraltar,1205.5544819157274
2024-11-18,Samoa,1205.4322729714406
2025-06-10,Montserrat,1199.321183952295
2026-03-27,Saint Lucia,1187.7592116803085
2011-09-05,Kiribati,1183.3012443349648
2019-09-10,Eritrea,1178.1211622998337
2026-06-07,Andorra,1176.8471973761918
2023-07-13,Falkland Islands,1171.5578590882806
2023-11-30,Tuvalu,1166.6561023246354
2025-10-13,São Tomé and Príncipe,1155.1369915979196
2026-03-30,Dominica,1150.473243453904
2026-06-10,Afghanistan,1133.6311685272412
2025-07-17,Frøya,1133.418447379645
2026-06-09,Myanmar,1125.3709691993554
2026-06-05,Bangladesh,1122.434560090608
2025-11-18,Nepal,1118.009000408009
2024-09-06,Cook Islands,1114.3742458671836
2025-11-18,Antigua and Barbuda,1111.6667641437305
2026-03-29,Barbados,1107.5309844915116
2026-06-10,Pakistan,1102.1044486189546
2025-11-18,Taiwan,1098.941623965469
2026-06-09,Cambodia,1094.697475105558
2026-06-06,Bonaire,1088.0368935473475
2025-11-26,Djibouti,1048.4950019147234
2022-04-23,Alderney,1046.6093663276029
2024-09-09,Tonga,1042.9702828450224
2026-06-06,British Virgin Islands,1035.001704122794
2025-11-26,Somalia,1018.3742780768388
2026-06-06,Cayman Islands,1018.1636144635428
2026-06-07,Liechtenstein,1007.0219942107424
2025-10-14,Seychelles,999.6261018593408
2026-06-01,Maldives,990.803411238242
2025-11-18,Sri Lanka,989.5834554327964
2025-08-16,Turks and Caicos Islands,978.6081469047672
2026-03-28,United States Virgin Islands,977.2872737357412
2026-06-05,Mongolia,966.2772992566069
2026-06-06,Guam,959.6120498172036
2026-06-09,San Marino,929.8839625422276
2026-03-29,Bahamas,915.980770214893
2025-11-19,Laos,910.7872987748448
2024-04-07,Northern Mariana Islands,901.8244928187124
2026-03-29,Anguilla,871.7339867430461
2025-11-18,Brunei,870.1978710304863
2025-11-18,Timor-Leste,861.1274173792184
2026-03-28,American Samoa,847.0127100215558
2026-03-29,Macau,817.2173081258765
2026-06-04,Bhutan,804.0171899731768
